Country code,Coun,Zone,Ranking 2015,Ranking 2014,Ranking 2013,Ranking 2012,Ranking 2011,Ranking 2010,Ranking 2009,Ranking 2008,Ranking 2007,Ranking 2006,Ranking 2005,Ranking 2004,Ranking 2003,Ranking 2002,Score 2015,Score 2015 W/o exactions,Score 2014,Score 2013,Pluralism 2015,Media independence 2015,Environment and self-censorship 2015,Legal framework 2015,Institutional transparency 2015,Infrastructures 2015,Exactions 2015,URL country page FR,URL country page EN,URL country page ES,Journalists killed 2014,Net-citizens killed 2014,Narrative FR,Narrative EN,Narrative ES
DNK,Denmark,European Union & the Balkans,7,7,6,6,,11,1,14,8,19,1,1,5,10,7.43,8.24,7.43,7.08,,,,,,,,http://fr.rsf.org/danemark.html,http://en.rsf.org/denmark.html,http://en.rsf.org/denmark.html,0,0,,,
DJI,Djibouti,Africa,169,169,167,167,,110,110,134,132,121,121,145,120,96,70.34,71.04,70.34,67.4,,,,,,,25.65,http://fr.rsf.org/djibouti.html,http://en.rsf.org/djibouti.html,http://es.rsf.org/yibuti.html,0,0,,,
EGY,Egypt,Middle East & North Africa,159,159,158,158,,127,143,146,146,133,143,128,110,101,51.89,47.47,51.89,48.66,,,,,,,60.98,http://fr.rsf.org/egypte.html,http://en.rsf.org/egypt.html,http://es.rsf.org/egipto.html,1,0,,,
SLV,El Salvador,Americas,38,38,38,38,,51,79,62,64,41,28,,,33,21.57,23.66,21.57,22.86,,,,,,,23.03,http://fr.rsf.org/salvador.html,http://en.rsf.org/salvador.html,http://es.rsf.org/el-salvador.html,0,0,,,
ARE,United Arab Emirates,Middle East & North Africa,118,118,114,114,,87,86,69,65,77,100,137,122,,36.03,36.73,36.03,33.49,,,,,,,34.34,http://fr.rsf.org/emirats-arabes-unis.html,http://en.rsf.org/united-arab-emirates.html,http://es.rsf.org/emiratos-arabes-unidos.html,0,0,,,
ECU,Ecuador,Americas,95,95,119,119,,101,84,74,56,68,87,66,42,20,31.16,32.19,31.16,34.69,,,,,,,39.51,http://fr.rsf.org/equateur.html,http://en.rsf.org/ecuador.html,http://es.rsf.org/ecuador.html,0,0,,,
ERI,Eritrea,Africa,180,180,179,179,,178,175,173,169,166,166,163,162,132,84.83,84.86,84.83,84.83,,,,,,,31.78,http://fr.rsf.org/erythree.html,http://en.rsf.org/eritrea.html,http://es.rsf.org/eritrea.html,0,0,,,
ESP,Spain,European Union & the Balkans,35,35,36,36,,39,44,36,33,41,40,39,42,29,20.63,19.95,20.63,20.5,,,,,,,16.09,http://fr.rsf.org/espagne.html,http://en.rsf.org/spain.html,http://es.rsf.org/espana.html,0,0,,,
EST,Estonia,European Union & the Balkans,11,11,11,11,,9,6,4,3,6,11,11,12,,9.63,11.19,9.63,9.26,,,,,,,,http://fr.rsf.org/estonie.html,http://en.rsf.org/estonia.html,http://en.rsf.org/estonia.html,0,0,,,
USA,United States,Americas,46,46,32,32,,20,20,36,48,53,44,22,31,17,23.49,22.57,23.49,18.22,,,,,,,31.78,http://fr.rsf.org/etats-unis.html,http://en.rsf.org/united-states.html,http://es.rsf.org/estados-unidos.html,0,0,,,
ETH,Ethiopia,Africa,143,143,137,137,,139,140,142,150,160,131,112,124,107,40.58,36.28,40.58,39.57,,,,,,,64.07,http://fr.rsf.org/ethiopie.html,http://en.rsf.org/ethiopia.html,http://es.rsf.org/etiopia.html,0,0,,,
FJI,Fiji,Asia-Pacific,107,107,107,107,,149,152,79,107,58,60,63,59,,32.57,31.28,32.57,32.69,,,,,,,6.93,http://fr.rsf.org/fidji.html,http://en.rsf.org/fiji.html,http://en.rsf.org/fiji.html,0,0,,,
